subject,experiment,l_length,p_recall
LTP093,ltpFR2,24,0.37794384057971014
LTP106,ltpFR2,24,0.7443387681159421
LTP115,ltpFR2,24,0.6571557971014493
LTP117,ltpFR2,24,0.6828200483091788
LTP122,ltpFR2,24,0.831748188405797
LTP123,ltpFR2,24,0.5314764492753623
LTP133,ltpFR2,24,0.43410326086956524
LTP138,ltpFR2,24,0.6189613526570048
LTP187,ltpFR2,24,0.27901785714285715
LTP207,ltpFR2,24,0.24471618357487923
LTP210,ltpFR2,24,0.21369263285024154
LTP228,ltpFR2,24,0.2093900966183575
LTP229,ltpFR2,24,0.2992904589371981
LTP236,ltpFR2,24,0.6357185990338164
LTP242,ltpFR2,24,0.19444444444444445
LTP246,ltpFR2,24,0.686292270531401
LTP249,ltpFR2,24,0.4335748792270532
LTP250,ltpFR2,24,0.28772095959595956
LTP251,ltpFR2,24,0.53743961352657
LTP258,ltpFR2,24,0.5378170289855072
LTP259,ltpFR2,24,0.5597826086956522
LTP260,ltpFR2,24,0.8328049516908212
LTP265,ltpFR2,24,0.641153381642512
LTP269,ltpFR2,24,0.4648248792270531
LTP273,ltpFR2,24,0.2107487922705314
LTP274,ltpFR2,24,0.23567708333333334
LTP278,ltpFR2,24,0.20954106280193238
LTP279,ltpFR2,24,0.5402324879227053
LTP280,ltpFR2,24,0.32140700483091783
LTP281,ltpFR2,24,0.2578125
LTP283,ltpFR2,24,0.6499849033816425
LTP285,ltpFR2,24,0.5241545893719807
LTP287,ltpFR2,24,0.21980676328502416
LTP290,ltpFR2,24,0.2999131944444444
LTP293,ltpFR2,24,0.4956219806763285
LTP295,ltpFR2,24,0.8565821256038647
LTP296,ltpFR2,24,0.39870169082125606
LTP297,ltpFR2,24,0.42112016908212563
LTP298,ltpFR2,1,0.0
LTP298,ltpFR2,24,0.45614390432098767
LTP299,ltpFR2,24,0.4688254830917874
LTP300,ltpFR2,24,0.482421875
LTP301,ltpFR2,24,0.2088617149758454
LTP302,ltpFR2,24,0.4051177536231884
LTP303,ltpFR2,24,0.754453502415459
LTP304,ltpFR2,24,0.575030193236715
LTP305,ltpFR2,24,0.21384359903381642
LTP306,ltpFR2,24,0.6373037439613526
LTP307,ltpFR2,24,0.6456823671497585
LTP308,ltpFR2,24,0.3958333333333333
LTP309,ltpFR2,24,0.2881944444444445
LTP310,ltpFR2,24,0.6111865942028986
LTP311,ltpFR2,24,0.6057518115942029
LTP312,ltpFR2,24,0.34005132850241543
LTP313,ltpFR2,24,0.5811011904761905
LTP314,ltpFR2,24,0.2977430555555555
LTP315,ltpFR2,24,0.3784722222222222
LTP316,ltpFR2,24,0.6885567632850241
LTP317,ltpFR2,24,0.31446256038647347
LTP318,ltpFR2,24,0.5246829710144928
LTP319,ltpFR2,24,0.3936631944444444
LTP320,ltpFR2,24,0.359375
LTP321,ltpFR2,24,0.3429951690821256
LTP322,ltpFR2,24,0.5532910628019324
LTP323,ltpFR2,24,0.6968599033816425
LTP324,ltpFR2,24,0.4730525362318841
LTP325,ltpFR2,24,0.4224788647342995
LTP326,ltpFR2,24,0.4835858585858586
LTP327,ltpFR2,24,0.8227657004830917
LTP328,ltpFR2,24,0.6524003623188406
LTP329,ltpFR2,24,0.4195350241545894
LTP330,ltpFR2,24,0.4735054347826087
LTP331,ltpFR2,24,0.7015398550724639
LTP334,ltpFR2,24,0.5905797101449276
LTP336,ltpFR2,24,0.36019736842105265
LTP337,ltpFR2,24,0.3858506944444444
LTP338,ltpFR2,24,0.38210978835978837
LTP339,ltpFR2,24,0.30457427536231885
LTP340,ltpFR2,24,0.16749698067632848
LTP341,ltpFR2,24,0.5445350241545893
LTP342,ltpFR2,24,0.6855374396135265
LTP343,ltpFR2,24,0.3902475845410628
LTP344,ltpFR2,24,0.46414553140096615
LTP346,ltpFR2,24,0.6890782828282828
LTP347,ltpFR2,24,0.6838768115942029
LTP348,ltpFR2,24,0.20365338164251207
LTP349,ltpFR2,24,0.32321859903381644
LTP352,ltpFR2,24,0.5416666666666666
LTP353,ltpFR2,24,0.22743055555555558
LTP354,ltpFR2,24,0.3257095410628019
LTP355,ltpFR2,24,0.5713315217391305
LTP356,ltpFR2,24,0.8963617149758454
LTP357,ltpFR2,24,0.4370471014492754
LTP358,ltpFR2,24,0.6061507936507936
LTP359,ltpFR2,24,0.7103587962962963
LTP360,ltpFR2,24,0.2774003623188406
LTP361,ltpFR2,24,0.6403093434343434
LTP362,ltpFR2,24,0.22977053140096618
LTP363,ltpFR2,24,0.45703125
LTP364,ltpFR2,24,0.3862469806763285
LTP365,ltpFR2,24,0.5861262077294687
LTP366,ltpFR2,24,0.3761322463768116
LTP367,ltpFR2,24,0.7757397342995169
LTP368,ltpFR2,24,0.45659722222222227
LTP369,ltpFR2,24,0.868131038647343
LTP370,ltpFR2,24,0.532986111111111
LTP371,ltpFR2,24,0.7645682367149758
LTP372,ltpFR2,24,0.678743961352657
LTP373,ltpFR2,24,0.481280193236715
LTP374,ltpFR2,24,0.6493923611111111
LTP375,ltpFR2,24,0.6657986111111112
LTP376,ltpFR2,24,0.2845568783068783
LTP377,ltpFR2,24,0.33622685185185186
LTP378,ltpFR2,24,0.27702294685990336
LTP379,ltpFR2,24,0.9599184782608695
LTP381,ltpFR2,24,0.3914930555555556
LTP382,ltpFR2,24,0.3125
LTP383,ltpFR2,24,0.2960069444444444
LTP384,ltpFR2,24,0.6381448412698413
LTP385,ltpFR2,24,0.3708175505050505
LTP386,ltpFR2,24,0.2835899758454106
LTP387,ltpFR2,24,0.6654589371980676
LTP388,ltpFR2,24,0.5868055555555556
LTP389,ltpFR2,24,0.6000905797101449
LTP390,ltpFR2,24,0.2442956349206349
LTP391,ltpFR2,24,0.5635258838383839
LTP392,ltpFR2,24,0.3532986111111111
LTP393,ltpFR2,24,0.22214673913043478
