"","(Intercept)","pcs_J","scs","tcs"
"LTP093",0.186442647198132,-0.00253585598031957,0.0320836913411618,-0.372204954032417
"LTP106",0.423950404106616,-0.00603559188266028,0.0623000978410922,-0.257434104274022
"LTP115",0.253971941776282,-0.0903493652117238,0.00255499740848267,-0.0255245864878113
"LTP117",0.0559978524428287,-0.00432858905400454,0.00687870197493531,0.187179689543825
"LTP122",0.52430571342568,-0.0845872878817296,0.0228999503950875,-0.178076392465433
"LTP123",0.120849479851743,-0.0582738429347729,-0.0203434838681932,-0.00573706327155196
"LTP133",0.00845176339461344,-0.0497362505276531,-0.00859852491153432,-0.0282328242937895
"LTP138",0.320505116357319,-0.062965561324209,0.0276890304351737,-0.23002267244675
"LTP187",0.0278719838136069,-0.0236310329099194,0.00792385026972743,-0.229030326878975
"LTP207",-0.123456907132444,-0.0128257233299916,-0.0144344227727121,-0.0877280582758326
"LTP210",-0.111029529762017,-0.0312227737629411,-0.0324343966951357,-0.142618604203263
"LTP228",-0.141172065318999,0.0151524706500802,0.00592334220324444,-0.16553597974661
"LTP229",0.000458452356190198,0.0136255587326568,-0.0255655131077559,-0.202528949022822
"LTP236",0.345666293729332,0.0480207843593476,0.0642601130592051,-0.354384138255734
"LTP242",-0.133401117025545,0.0349996516940814,-0.0107665779350437,-0.180032155842323
"LTP246",-0.580695124274575,0.0532455253959459,-0.0480875750033932,0.819509767834905
"LTP249",-0.238352450606031,0.0392382489922084,-0.0353338874138372,0.23591511359072
"LTP250",0.0745989393315226,0.00754451471337198,-0.00300015662119193,-0.346683222476732
"LTP251",0.327494446844582,0.0104745236539448,0.0662892972812839,-0.439394483894701
"LTP258",-0.095529656907152,-0.0207411344035991,-0.0181230995340772,0.243129349087637
"LTP259",0.333083589093053,0.0440008209722296,0.0677953799808452,-0.387562405103311
"LTP260",0.615073731509728,-0.0764426765589746,0.0236984198047682,-0.327519934448123
"LTP265",-0.40497150812211,0.113320127539649,-0.0596485212198443,0.658069586034808
"LTP269",0.0781180912834206,-0.0181253108913921,0.0218504996806232,-0.121550373430865
"LTP273",-0.174874093664434,0.0510097561636201,-0.0228119188734663,-0.0655856048239118
"LTP274",-0.0173348104422107,0.0134475520170217,-0.005435313072299,-0.234989191476312
"LTP278",-0.119979333601335,0.0300647166574852,-0.0225127669113982,-0.144320774949626
"LTP279",0.296644264345885,-0.0070653164746766,0.0377343278973272,-0.302184204757697
"LTP280",0.0415439531909704,0.00132369808227189,-0.0215359998072534,-0.248197332950365
"LTP281",-0.0970795472803587,0.00123703314038018,-0.0190461728006965,-0.101522179724521
"LTP283",0.296836154384319,-0.167144498721488,-0.0103998088120914,-0.0373478252901219
"LTP285",0.172571706031043,0.0012127542038766,0.0181296093736124,-0.190882226547175
"LTP287",-0.143143294803734,-0.0173634828708606,-0.0155822863081665,-0.102793224096043
"LTP290",-0.18145677157914,-0.039890448687805,-0.056231601258454,0.123714147102874
"LTP293",0.0668265890463527,-0.00566665788693415,-0.00306214589646612,-0.0336186735773031
"LTP295",0.354356576163706,0.0188147423705992,0.0596858266838576,-0.0137680837774282
"LTP296",-0.0256738554076251,0.018390632159793,-0.0020898920365503,-0.0664115890112756
"LTP297",-0.163746253869224,0.00142927666362175,-0.0163251631308768,0.210020162281186
"LTP298",-0.400862891704632,0.00353952297569848,-0.0585352267067397,0.485433752437532
"LTP299",0.0203303310514907,0.026128496179525,0.0278162314242944,-0.0729592060101088
"LTP300",-0.12910632661878,0.00874182985652684,-0.0137657151373195,0.188213338019445
"LTP301",-0.124843527522351,-0.0172914050279375,-0.0372848678820345,-0.125322677121062
"LTP302",-0.00652883221511998,-0.0794966687924371,-0.029174233198177,-0.0192070171379364
"LTP303",-0.880787579685203,0.0209256660580992,-0.0999222712264119,1.25919104229093
"LTP304",0.000211585128104502,0.0918719134677796,0.0442749900622374,0.0399216070808163
"LTP305",0.0438133201442474,-0.0108751578549299,0.0211506290549805,-0.364255649365667
"LTP306",-0.0830710427457611,-0.0303450054092972,-0.0067245455305235,0.327189735511581
"LTP307",0.0937909158056145,-0.0163986490188672,-0.0132966823297256,0.151379269531257
"LTP308",-0.0472577532271768,-0.0184438209405372,-0.00927530751704999,-0.00545362024010089
"LTP309",-0.0797295633157767,0.0125907443602251,-0.00949677350505783,-0.116022107407412
"LTP310",0.29876056143063,-0.00866508565214236,0.0289028457730872,-0.210697541081946
"LTP311",-0.0542583971936331,-0.0581851921983235,-0.0389482390454631,0.279113098660175
"LTP312",-0.171799374331973,0.0521272698656631,0.00210897588101816,0.0250232048346768
"LTP313",0.0984693252148061,-0.0350936949997854,-0.00574256584154897,0.0153130670390175
"LTP314",-0.148904456903233,0.0666523709879523,0.0103915514818763,-0.0849877862510919
"LTP315",0.0847609661533255,-0.00158909159474714,0.0193424254837788,-0.28667772346196
"LTP316",0.0249316889894558,-0.0208793432328734,0.0239163183598053,0.222110121150999
"LTP317",-0.0876440375843384,0.0119543185557035,-0.0115879410953972,-0.101329946950057
"LTP318",0.121881495417409,-0.0600094303667733,0.0200647194281655,-0.0717031641600985
"LTP319",0.17288503971459,-0.0115350652609199,0.0100406559734755,-0.274661086760403
"LTP320",-0.0295694099315126,0.00424390297369348,-0.00433341946778293,-0.0684598606942239
"LTP321",-0.0689745150540796,0.0410841591006778,0.0302506577177651,-0.120765935445983
"LTP322",0.174767730724792,-0.0607253966410806,-0.0460279067961578,-0.0468857110861646
"LTP323",0.48469132195969,-0.0260148155835317,0.0430301344337289,-0.368046541265182
"LTP324",-0.383987178065659,0.020294825346182,-0.0406511597425474,0.481834305812778
"LTP325",0.00454462910234706,-0.0211190039529668,-0.00956693513175086,-0.0695886486989278
"LTP326",-0.0424641304519217,0.0796273279832838,0.0621447889437815,-0.0180946152735253
"LTP327",0.467120546885965,-0.029243459984544,0.0171118890486975,-0.158142101421722
"LTP328",-0.0452273799072542,-0.0192748311988846,-0.00616425354916927,0.244377970824979
"LTP329",0.0247581561182503,-0.0677562682819783,-0.000252209908391435,-0.0335521137823242
"LTP330",0.154346309873355,-0.0344908024888046,0.0174235793522331,-0.209873677844394
"LTP331",-0.645755719169969,0.0330961701585604,-0.0975153417380436,1.02057791773591
"LTP334",0.283346892000269,0.0143290295615644,0.0374314546186745,-0.274989979172634
"LTP336",0.0479387496696893,0.0145051135435753,-0.00359788199640765,-0.208760218295145
"LTP337",-0.153235689589647,0.00158248790737342,-0.0307018512591182,0.118464014041104
"LTP338",-0.0760940726014064,-0.0227859865745044,-0.0435284815348742,0.0143371704750888
"LTP339",-0.109086607525568,0.0225392672161669,-0.0165985647730708,-0.0840096619231837
"LTP340",-0.0153141856294504,-0.00265415867318245,-0.0217365812661985,-0.297672173578539
"LTP341",0.00138026582358178,-0.0066009797703631,-0.0251023659203408,0.104217957677854
"LTP342",-0.154820646419348,0.0253740283092814,-0.0131571452660445,0.433676008211444
"LTP343",0.160554614462211,0.0113642680643217,0.0197743444625407,-0.351241464156406
"LTP344",-0.0739076283105273,0.0533312683915889,0.0222214422154469,0.0402806311131952
"LTP346",-0.385983323750167,0.0383148168449967,-0.0305850704913281,0.753511188520959
"LTP347",-0.20821714618325,-0.0505825107969188,-0.0335587572862719,0.54428152630453
"LTP348",-0.143391205340112,-0.0120003131980249,-0.0367276082521006,-0.118765809312897
"LTP349",0.0856765785263932,0.00344147179205599,0.0192953415029375,-0.283447232241422
"LTP352",0.0612067927009254,-0.0145657498262508,0.00667305559310613,0.0543916725876827
"LTP353",-0.0373816270338734,-0.0351381263162493,-0.0255655990339553,-0.185062326112594
"LTP354",-0.0570677836872002,-0.0257280476008051,-0.0430179785255933,-0.0540744496263667
"LTP355",0.103017602022113,-0.0943314956998825,0.0110160293753939,0.0558240295016808
"LTP356",-0.478217525038904,0.0198991508626578,-0.0520079989363589,0.922188293226632
"LTP357",-0.0115643365826202,-0.00347905828192488,0.00245644542297434,-0.0330370441522948
"LTP358",0.215165497301265,0.0360715884442551,0.0683899770676978,-0.203657129731169
"LTP359",-0.158378630138171,0.124115997954061,0.0530040877147208,0.372741658842885
"LTP360",0.00562744513168732,-0.0105280089888612,-0.000870877261563082,-0.233284548061078
"LTP361",0.0180268181009646,0.0508254954260625,0.0160967267322041,0.139043278903179
"LTP362",-0.0766202765268508,-0.0262665337619401,-0.01319859430987,-0.151516452354413
"LTP363",0.0790753576079961,-0.029613700215994,0.0131361876767837,-0.12652674655876
"LTP364",-0.198810145332375,-0.0249658714177487,-0.04354447381651,0.223397155434364
"LTP365",0.172595640827655,0.0133198024088643,0.0518320699300341,-0.1298623001789
"LTP366",-0.0641219873176928,0.0389508232796164,0.00556996034404725,-0.0739035366902249
"LTP367",-0.320350283811997,-0.0391533027485598,-0.0730207328249881,0.754054172457088
"LTP368",0.035543796052729,0.0128677456484571,0.00859653777741196,-0.067431627441606
"LTP369",-0.0502494726255014,-0.0439808775233768,-0.0347474767628146,0.517929457036437
"LTP370",0.143196814230697,3.83594932656245e-05,0.0169664258123246,-0.134028245462372
"LTP371",0.0218671666404383,-0.0286612652374188,0.00182050033064644,0.328218785091604
"LTP372",-0.273914628869743,0.0834556445160859,0.00142927483544836,0.498727293426919
"LTP373",0.106675863300272,0.00721911924133139,0.0202822160375239,-0.155213796272025
"LTP374",0.212947906672803,0.0606398658515063,0.0793383513411972,-0.152928420178934
"LTP375",0.0950401546565759,0.0158759129115188,0.0195440085151261,0.138139103199227
"LTP376",-0.0182874361169352,0.00341255810432469,0.0103327746318982,-0.24875111720583
"LTP377",-0.20164009440287,0.0242303112132429,-0.0186114539083019,0.111474898259388
"LTP378",-0.0962668779590583,0.0112958405119928,-0.0269370330249032,-0.0856976253979796
"LTP379",-0.0239390213392363,0.000842617458476315,-0.00206063182402679,0.479059016821931
"LTP381",0.0427577483240739,0.0450998637410268,0.0346124011797695,-0.256199021135774
"LTP382",-0.0363610834296103,-0.0323604422818482,-0.0195465276059256,-0.14159553160076
"LTP383",-0.0743796231280739,0.0276498027990566,0.00914793758201184,-0.150864791190982
"LTP384",0.0225291730415259,0.0162015874368459,-0.00609042363987565,0.172359438979237
"LTP385",0.0385068366416899,0.0147467488007041,-0.0130156141581363,-0.190492522689896
"LTP386",0.00233322670027418,-0.00950985913528406,0.000618632373742933,-0.25384250161479
"LTP387",0.448389324222423,0.0119875677263479,0.0510233335044273,-0.411544939627324
"LTP388",-0.0719768183591052,0.0241644120486742,0.00744393271299383,0.283405787480972
"LTP389",0.193297159890138,-0.0104523717856865,0.0497908915346771,-0.119922839140754
"LTP390",-0.085237283291146,0.0102866183104034,-0.000522952426226429,-0.186065957285232
"LTP391",0.0871202226546813,0.0997233834176556,0.101891030907974,-0.0908788512907664
"LTP392",-0.0348261024671137,0.0150031976821882,-0.000338965213202708,-0.116033556635905
"LTP393",-0.00719128044207789,-0.0124144235082641,-0.00737643494768542,-0.255527498470979
